1638;Montaigu la Brisette;-1.4077719;49.5627563;1709;Montaigu la Brisette;-1.4077719;49.5627563
1638;Anneville en Saire;-1.2863365;49.635587;1713;Anneville en Saire;-1.2863365;49.635587
1638;Sauxemesnil;-1.4626838;49.5731375;1688;Sauxemesnil;-1.4626838;49.5731375
1638;Sauxemesnil;-1.4626838;49.5731375;1723;Sauxemesnil;-1.4626838;49.5731375
1638;Sauxemesnil;-1.4626838;49.5731375;1688;Sauxemesnil;-1.4626838;49.5731375
1638;Sauxemesnil;-1.4626838;49.5731375;1688;Sauxemesnil;-1.4626838;49.5731375
1638;Sottevast;-1.5931507;49.5224467;1678;Sottevast;-1.5931507;49.5224467
1639;Montaigu la Brisette;-1.4077719;49.5627563;1712;Montaigu la Brisette;-1.4077719;49.5627563
1639;Teurtheville Bocage;-1.3961897;49.592102;1700;Teurtheville Bocage;-1.3961897;49.592102
1639;Teurtheville Bocage;-1.3961897;49.592102;1689;Teurtheville Bocage;-1.3961897;49.592102
1640;Sauxemesnil;-1.4626838;49.5731375;1701;Montaigu la Brisette;-1.4077719;49.5627563
1640;le mesnil au val;-1.5249447;49.6048684;1690;le mesnil au val;-1.5249447;49.6048684
1640;le mesnil au val;-1.5249447;49.6048684;1709;le mesnil au val;-1.5249447;49.6048684
1640;Tamerville;-1.4531051;49.5329127;1717;Tamerville;-1.4531051;49.5329127
1640;Sauxemesnil;-1.4626838;49.5731375;1690;Sauxemesnil;-1.4626838;49.5731375
1640;Canteloup;-1.3519922;49.6453685;1710;Canteloup;-1.3519922;49.6453685
1641;Tamerville;-1.4531051;49.5329127;1691;Tamerville;-1.4531051;49.5329127
1642;Teurtheville Bocage;-1.3961897;49.592102;1736;Teurtheville Bocage;-1.3961897;49.592102
1642;valognes;-1.4703507;49.509157;1724;valognes;-1.4703507;49.509157
1642;Tamerville;-1.4531051;49.5329127;1692;Tamerville;-1.4531051;49.5329127
1642;Montaigu la Brisette;-1.4077719;49.5627563;1721;Montaigu la Brisette;-1.4077719;49.5627563
1643;Tamerville;-1.4531051;49.5329127;1682;Tamerville;-1.4531051;49.5329127
1643;le theil;-1.4705387;49.6092354;1693;le theil;-1.4705387;49.6092354
1643;valognes;-1.4703507;49.509157;1693;valognes;-1.4703507;49.509157
1643;valognes;-1.4703507;49.509157;1675;Tamerville;-1.4531051;49.5329127
1643;Montfarville;-1.2693609;49.6536808;1719;Montfarville;-1.2693609;49.6536808
1643;Reville;-1.2581061;49.6196577;1715;Reville;-1.2581061;49.6196577
1643;Brix;-1.5801276;49.5448072;1682;Brix;-1.5801276;49.5448072
1643;Teurtheville Bocage;-1.3961897;49.592102;1693;Teurtheville Bocage;-1.3961897;49.592102
1644;valognes;-1.4703507;49.509157;1694;valognes;-1.4703507;49.509157
1644;Montfarville;-1.2693609;49.6536808;1682;Montfarville;-1.2693609;49.6536808
1644;Brix;-1.5801276;49.5448072;1711;Brix;-1.5801276;49.5448072
1644;Montaigu la Brisette;-1.4077719;49.5627563;1691;Montaigu la Brisette;-1.4077719;49.5627563
1645;le rozel;-1.8289575;49.4874129;1695;le rozel;-1.8289575;49.4874129
1645;le rozel;-1.8289575;49.4874129;1695;le rozel;-1.8289575;49.4874129
1645;le rozel;-1.8289575;49.4874129;1695;le rozel;-1.8289575;49.4874129
1645;le rozel;-1.8289575;49.4874129;1695;le rozel;-1.8289575;49.4874129
1645;Tourlaville;-1.5804229;49.64054;1695;Tourlaville;-1.5804229;49.64054
1645;Tourlaville;-1.5804229;49.64054;1695;Tourlaville;-1.5804229;49.64054
1645;Reville;-1.2581061;49.6196577;1705;Reville;-1.2581061;49.6196577
1645;Reville;-1.2581061;49.6196577;1695;Reville;-1.2581061;49.6196577
1645;Quettehou;-1.3033477;49.5924741;1723;Teurtheville Bocage;-1.3961897;49.592102
1645;Sauxemesnil;-1.4626838;49.5731375;1727;Sauxemesnil;-1.4626838;49.5731375
1645;Sauxemesnil;-1.4626838;49.5731375;1733;Sauxemesnil;-1.4626838;49.5731375
1645;Neuville au Plain;-1.3315137;49.4299556;1695;Neuville au Plain;-1.3315137;49.4299556
1645;Teurtheville Bocage;-1.3961897;49.592102;1711;Teurtheville Bocage;-1.3961897;49.592102
1645;Teurtheville Bocage;-1.3961897;49.592102;1705;Teurtheville Bocage;-1.3961897;49.592102
1645;Teurtheville Bocage;-1.3961897;49.592102;1715;Teurtheville Bocage;-1.3961897;49.592102
1645;Teurtheville Bocage;-1.3961897;49.592102;1702;Teurtheville Bocage;-1.3961897;49.592102
1646;Sauxemesnil;-1.4626838;49.5731375;1709;Sauxemesnil;-1.4626838;49.5731375
1646;Montaigu la Brisette;-1.4077719;49.5627563;1727;Montaigu la Brisette;-1.4077719;49.5627563
1646;Sauxemesnil;-1.4626838;49.5731375;1720;Sauxemesnil;-1.4626838;49.5731375
1646;Maupertus sur Mer;-1.4838704;49.6573331;1696;Maupertus sur Mer;-1.4838704;49.6573331
1646;Maupertus sur Mer;-1.4838704;49.6573331;1696;Maupertus sur Mer;-1.4838704;49.6573331
1646;Sauxemesnil;-1.4626838;49.5731375;1720;Sauxemesnil;-1.4626838;49.5731375
1646;Sauxemesnil;-1.4626838;49.5731375;1728;Sauxemesnil;-1.4626838;49.5731375
1646;Ancteville;-1.4783673;49.1033319;1721;Neuville au Plain;-1.3315137;49.4299556
1646;Octeville l Avenel;-1.354158;49.5436439;1715;Teurtheville Bocage;-1.3961897;49.592102
1647;Montaigu la Brisette;-1.4077719;49.5627563;1723;Montaigu la Brisette;-1.4077719;49.5627563
1647;Flamanville;-1.8665098;49.5298059;1697;Flamanville;-1.8665098;49.5298059
1647;Sauxemesnil;-1.4626838;49.5731375;1697;Sauxemesnil;-1.4626838;49.5731375
1647;Amfreville;-1.392828;49.4102926;1697;Amfreville;-1.392828;49.4102926
1647;Amfreville;-1.392828;49.4102926;1707;Amfreville;-1.392828;49.4102926
1647;Turqueville;-1.27883;49.407729;1707;Turqueville;-1.27883;49.407729
1648;Tamerville;-1.4531051;49.5329127;1700;Tamerville;-1.4531051;49.5329127
1648;Sauxemesnil;-1.4626838;49.5731375;1698;Sauxemesnil;-1.4626838;49.5731375
1648;Tamerville;-1.4531051;49.5329127;1708;Sauxemesnil;-1.4626838;49.5731375
1648;Canteloup;-1.3519922;49.6453685;1708;Canteloup;-1.3519922;49.6453685
1649;Montfarville;-1.2693609;49.6536808;1732;Montfarville;-1.2693609;49.6536808
1649;Montaigu la Brisette;-1.4077719;49.5627563;1721;Montaigu la Brisette;-1.4077719;49.5627563
1649;Sauxemesnil;-1.4626838;49.5731375;1689;Sauxemesnil;-1.4626838;49.5731375
1649;Valcanville;-1.3295519;49.6437175;1695;Valcanville;-1.3295519;49.6437175
1649;Teurtheville Bocage;-1.3961897;49.592102;1707;Teurtheville Bocage;-1.3961897;49.592102
1649;Teurtheville Bocage;-1.3961897;49.592102;1707;Teurtheville Bocage;-1.3961897;49.592102
1649;Montaigu la Brisette;-1.4077719;49.5627563;1732;Montaigu la Brisette;-1.4077719;49.5627563
1650;Tamerville;-1.4531051;49.5329127;1700;Tamerville;-1.4531051;49.5329127
1650;brillevast;-1.4142584;49.628085;1700;brillevast;-1.4142584;49.628085
1650;brillevast;-1.4142584;49.628085;1700;brillevast;-1.4142584;49.628085
1650;Pierreville;-1.7824213;49.4733561;1700;Pierreville;-1.7824213;49.4733561
1650;Flamanville;-1.8665098;49.5298059;1700;Flamanville;-1.8665098;49.5298059
1650;Flamanville;-1.8665098;49.5298059;1700;Flamanville;-1.8665098;49.5298059
1650;Golleville;-1.5162243;49.4357895;1722;Golleville;-1.5162243;49.4357895
1650;Golleville;-1.5162243;49.4357895;1724;Golleville;-1.5162243;49.4357895
1650;Valcanville;-1.3295519;49.6437175;1712;Montfarville;-1.2693609;49.6536808
1650;Reville;-1.2581061;49.6196577;1700;Reville;-1.2581061;49.6196577
1650;brillevast;-1.4142584;49.628085;1700;brillevast;-1.4142584;49.628085
1650;brillevast;-1.4142584;49.628085;1700;brillevast;-1.4142584;49.628085
1650;le vast;-1.3606769;49.6210653;1700;le vast;-1.3606769;49.6210653
1650;Sauxemesnil;-1.4626838;49.5731375;1700;Sauxemesnil;-1.4626838;49.5731375
1650;Sauxemesnil;-1.4626838;49.5731375;1608;Sauxemesnil;-1.4626838;49.5731375
1650;Gatteville le Phare;-1.2831194;49.6864848;1700;Gatteville le Phare;-1.2831194;49.6864848
1650;Gatteville le Phare;-1.2831194;49.6864848;1700;Gatteville le Phare;-1.2831194;49.6864848
1650;Teurtheville Bocage;-1.3961897;49.592102;1690;Teurtheville Bocage;-1.3961897;49.592102
1650;Montaigu la Brisette;-1.4077719;49.5627563;1737;Montaigu la Brisette;-1.4077719;49.5627563
1650;Montaigu la Brisette;-1.4077719;49.5627563;1721;Montaigu la Brisette;-1.4077719;49.5627563
1651;Montaigu la Brisette;-1.4077719;49.5627563;1701;Montaigu la Brisette;-1.4077719;49.5627563
1651;Tamerville;-1.4531051;49.5329127;1705;Tamerville;-1.4531051;49.5329127
1651;Teurtheville Bocage;-1.3961897;49.592102;1719;Teurtheville Bocage;-1.3961897;49.592102
