ville;cp;longitude;latitude;departement
LA CHAPELLE EN JUGER;50570;-1.2161371;49.1281419;50
LA CHAPELLE UREE;50370;-1.1498766;48.66685;50
CHASSEGUEY;50520;-1.0764013;48.6474455;50
CHAVOY;50870;-1.3327357;48.7276887;50
CHEF DU PONT;50480;-1.3424888;49.3866525;50
LE CHEFRESNE;50410;-1.1540781;48.9037769;50
CHERBOURG;50100;-1.613426;49.633998;50
CHERENCE LE HERON;50800;-1.1954311;48.8023618;50
CHERENCE LE ROUSSEL;50520;-1.0180556;48.7086923;50
LES CHERIS;50220;-1.2564748;48.6340846;50
CHEVREVILLE;50600;-1.0468372;48.6139987;50
CHEVRY;50420;-1.1202039;48.9690477;50
CLITOURPS;50330;-1.3738613;49.657132;50
COIGNY;50250;-1.3781034;49.318672;50
LA COLOMBE;50800;-1.1821372;48.874431;50
COLOMBY;50700;-1.4938313;49.4552935;50
CONDE SUR VIRE;50890;-1.0107318;49.0469961;50
CONTRIERES;50660;-1.4319673;48.9884493;50
CORMERAY;50170;-1.446189;48.5509603;50
COSQUEVILLE;50330;-1.4;49.7;50
COUDEVILLE SUR MER;50290;-1.5270629;48.881902;50
COULOUVRAY BOISBENATRE;50670;-1.1090376;48.7868624;50
COURCY;50200;-1.3929263;49.0418449;50
COURTILS;50220;-1.4082378;48.6277223;50
COUTANCES;50200;-1.4443565;49.0491692;50
COUVAINS;50680;-1.0077125;49.1656953;50
COUVILLE;50690;-1.6830643;49.5559951;50
CRASVILLE;50630;-1.3431083;49.549095;50
CREANCES;50710;-1.5722325;49.2025401;50
LES CRESNAYS;50370;-1.1223576;48.7199137;50
CRETTEVILLE;50250;-1.3871669;49.3429683;50
LA CROIX AVRANCHIN;50240;-1.3834873;48.5460251;50
CROLLON;50220;-1.3842539;48.5850153;50
CROSVILLE SUR DOUVE;50360;-1.4842334;49.3873804;50
CUREY;50170;-1.4666918;48.5619628;50
CUVES;50670;-1.1070748;48.7186283;50
DANGY;50750;-1.2253672;49.0449591;50
DENNEVILLE;50580;-1.6971265;49.3047692;50
LE DEZERT;50620;-1.1652029;49.2040207;50
DIGOSVILLE;50110;-1.5258287;49.6310598;50
DIGULLEVILLE;50440;-1.8601916;49.6970287;50
DOMJEAN;50420;-1.0323484;48.9867988;50
DONVILLE LES BAINS;50350;-1.5722394;48.8516917;50
DOVILLE;50250;-1.5397621;49.3319824;50
DRAGEY RONTHON;50530;-1.496914;48.7114711;50
DUCEY;50220;-1.2903;48.6179769;50
ECAUSSEVILLE;50310;-1.3746082;49.4618855;50
ECOQUENEAUVILLE;50480;-1.2924332;49.4010726;50
ECULLEVILLE;50440;-1.8204404;49.6820094;50
EMONDEVILLE;50310;-1.3426361;49.4590611;50
EQUEURDREVILLE HAINNEVILL;50120;-1.6821972;49.6432256;50
EQUILLY;50320;-1.3870053;48.8402763;50
EROUDEVILLE;50310;-1.389794;49.476604;50
L ETANG BERTRAND;50260;-1.560224;49.4651232;50
ETIENVILLE;50360;-1.4355541;49.3784228;50
FERMANVILLE;50840;-1.4600186;49.6887662;50
FERRIERES;50640;-0.9576636;48.5431979;50
FERVACHES;50420;-1.0852408;48.9951711;50
FEUGERES;50190;-1.3202897;49.1507309;50
LA FEUILLIE;50190;-1.4788397;49.1773991;50
FIERVILLE LES MINES;50580;-1.6684921;49.3900281;50
FLAMANVILLE;50340;-1.8665098;49.5298059;50
