ville;cp;longitude;latitude;departement
ST LO D OURVILLE;50580;-1.6686208;49.3347725;50
ST LOUET SUR VIRE;50420;-0.9887306;48.9892672;50
ST LOUP;50300;-1.2948219;48.6685706;50
ST MALO DE LA LANDE;50200;-1.5400372;49.0708385;50
ST MARCOUF;50310;-1.2902705;49.4731096;50
STE MARIE DU BOIS;50640;-0.8915452;48.5625716;50
STE MARIE DU MONT;50480;-1.225682;49.382111;50
ST MARTIN D AUBIGNY;50190;-1.3501388;49.1648583;50
ST MARTIN D AUDOUVILLE;50310;-1.3621825;49.5288522;50
ST MARTIN DE BONFOSSE;50750;-1.1696965;49.0534052;50
ST MARTIN DE CENILLY;50210;-1.2809329;48.9827855;50
CHAULIEU;50150;-0.8624915;48.7354236;50
ST MARTIN DE LANDELLES;50730;-1.1721335;48.5456535;50
ST MARTIN DES CHAMPS;50300;-1.3296913;48.6702638;50
ST MARTIN DE VARREVILLE;50480;-1.2382886;49.4278928;50
ST MARTIN LE BOUILLANT;50800;-1.1774803;48.7850504;50
ST MARTIN LE GREARD;50690;-1.6489724;49.5569481;50
ST MAUR DES BOIS;50800;-1.1573925;48.8226762;50
ST MAURICE EN COTENTIN;50270;-1.7054928;49.3896646;50
STE MERE EGLISE;50480;-1.3179094;49.4088166;50
ST MICHEL DE LA PIERRE;50490;-1.385235;49.139226;50
ST MICHEL DE MONTJOIE;50670;-1.0270175;48.7634584;50
ST MICHEL DES LOUPS;50740;-1.5283783;48.7612562;50
ST NICOLAS DE PIERREPONT;50250;-1.587262;49.3234499;50
ST NICOLAS DES BOIS;50370;-1.1933369;48.7562816;50
ST OVIN;50300;-1.2622563;48.6821307;50
ST PAIR SUR MER;50380;-1.5707296;48.8153685;50
ST PATRICE DE CLAIDS;50190;-1.4312432;49.2311667;50
ST PELLERIN;50500;-1.1827973;49.2947048;50
STE PIENCE;50870;-1.291361;48.759028;50
ST PIERRE D ARTHEGLISE;50270;-1.6920368;49.413429;50
ST PIERRE DE COUTANCES;50200;-1.449732;49.0357918;50
ST PIERRE DE SEMILLY;50810;-1.0049577;49.1202624;50
ST PIERRE EGLISE;50330;-1.3957877;49.6669552;50
ST PIERRE LANGERS;50530;-1.4979344;48.78448;50
ST PLANCHERS;50400;-1.5261618;48.821601;50
ST POIS;50670;-1.0677462;48.7488017;50
ST QUENTIN SUR LE HOMME;50220;-1.3151884;48.6462944;50
ST REMY DES LANDES;50580;-1.6563061;49.3004091;50
ST ROMPHAIRE;50750;-1.1053369;49.0374304;50
ST SAMSON DE BONFOSSE;50750;-1.1284771;49.0488909;50
ST SAUVEUR DE CHAULIEU;50150;-0.8492826;48.7491412;50
ST SAUVEUR DE PIERREPONT;50250;-1.5944593;49.3358939;50
ST SAUVEUR LA POMMERAYE;50510;-1.4453374;48.8459943;50
ST SAUVEUR LENDELIN;50490;-1.4124568;49.130494;50
ST SAUVEUR LE VICOMTE;50390;-1.5295622;49.3855999;50
ST SEBASTIEN DE RAIDS;50190;-1.3698209;49.1906098;50
ST SENIER DE BEUVRON;50240;-1.3102687;48.5761758;50
ST SENIER SOUS AVRANCHES;50300;-1.3308841;48.6834181;50
STE SUZANNE EN BAUPTOIS;50250;-1.4333506;49.3077633;50
STE SUZANNE SUR VIRE;50750;-1.0596744;49.0615022;50
ST SYMPHORIEN DES MONTS;50640;-1.0033631;48.5437103;50
ST SYMPHORIEN LE VALOIS;50250;-1.5528721;49.2953602;50
ST SYMPHORIEN LES BUTTE;50160;-1.5980049;49.2869479;50
ST URSIN;50320;-1.4401585;48.8002553;50
ST VAAST LA HOUGUE;50550;-1.2680981;49.5876233;50
ST VIGOR DES MONTS;50420;-1.0864349;48.9107539;50
SAINTENY;50500;-1.3141875;49.2385581;50
SARTILLY;50530;-1.455832;48.751785;50
SAUSSEMESNIL;50700;-1.4626838;49.5731375;50
SAUSSEY;50200;-1.4333357;49.0095372;50
SAVIGNY;50210;-1.3385401;49.0489261;50
SAVIGNY LE VIEUX;50640;-1.0488607;48.5209905;50
SEBEVILLE;50480;-1.2880779;49.3859886;50
SENOVILLE;50270;-1.7766135;49.4340623;50
SERVIGNY;50200;-1.4740346;49.0934138;50
SERVON;50170;-1.4183711;48.6007583;50
SIDEVILLE;50690;-1.6862386;49.5931842;50
SIOUVILLE HAGUE;50340;-1.8385951;49.557652;50
SORTOSVILLE EN BEAUMONT;50270;-1.7155252;49.4247533;50
SORTOSVILLE;50310;-1.4330846;49.4800017;50
SOTTEVAST;50260;-1.5931507;49.5224467;50
SOTTEVILLE;50340;-1.7532679;49.5390198;50
SOULLES;50750;-1.1896534;49.0142195;50
SOURDEVAL;50150;-0.9198357;48.7242865;50
SOURDEVAL LES BOIS;50450;-1.267907;48.9091635;50
SUBLIGNY;50870;-1.364967;48.7449812;50
SURTAINVILLE;50270;-1.8130227;49.4588255;50
SURVILLE;50250;-1.6488534;49.2822045;50
TAILLEPIED;50390;-1.5821051;49.3627443;50
TAMERVILLE;50700;-1.4531051;49.5329127;50
TANIS;50170;-1.4417783;48.5918678;50
LE TANU;50320;-1.3457067;48.8156071;50
LE TEILLEUL;50640;-0.8724784;48.5372316;50
TESSY SUR VIRE;50420;-1.0603518;48.9719724;50
TEURTHEVILLE BOCAGE;50630;-1.3961897;49.592102;50
TEURTHEVILLE HAGUE;50690;-1.7289166;49.5828353;50
LE THEIL;50330;-1.4705387;49.6092354;50
THEVILLE;50330;-1.4233034;49.6531965;50
TIREPIED;50870;-1.27049;48.7091607;50
TOCQUEVILLE;50330;-1.336647;49.6706822;50
TOLLEVAST;50470;-1.6280551;49.5743733;50
TONNEVILLE;50460;-1.7146149;49.6433436;50
TORIGNI SUR VIRE;50160;-0.9808761;49.0349826;50
TOURLAVILLE;50110;-1.5804229;49.64054;50
TOURVILLE SUR SIENNE;50200;-1.5483137;49.0459061;50
TREAUVILLE;50340;-1.8114996;49.531256;50
TRELLY;50660;-1.4278479;48.959956;50
TRIBEHOU;50620;-1.2434441;49.2144289;50
LA TRINITE;50800;-1.235537;48.7909386;50
TROISGOTS;50420;-1.073505;49.0108985;50
TURQUEVILLE;50480;-1.27883;49.407729;50
URVILLE;50700;-1.4411543;49.45275;50
URVILLE NACQUEVILLE;50460;-1.7344646;49.6721322;50
VAINS;50300;-1.4120733;48.6820977;50
VALCANVILLE;50760;-1.3295519;49.6437175;50
LE VALDECIE;50260;-1.6531962;49.423481;50
VALOGNES;50700;-1.4703507;49.509157;50
LE VAL ST PERE;50300;-1.3751417;48.6627835;50
VARENGUEBEC;50250;-1.4968378;49.3373791;50
VAROUVILLE;50330;-1.3682835;49.6741755;50
LE VAST;50630;-1.3606769;49.6210653;50
VASTEVILLE;50440;-1.7732111;49.5943372;50
VAUDREVILLE;50310;-1.3708951;49.5168823;50
VAUDRIMESNIL;50490;-1.4146644;49.1528717;50
VAUVILLE;50440;-1.8453212;49.636277;50
LA VENDELEE;50200;-1.4631033;49.0813677;50
VENGEONS;50150;-0.9170242;48.754769;50
VER;50450;-1.3932502;48.8939255;50
VERGONCEY;50240;-1.400053;48.5621127;50
VERNIX;50370;-1.2248591;48.715598;50
VESLY;50430;-1.5042539;49.2519472;50
VESSEY;50170;-1.4314398;48.5242572;50
LES VEYS;50500;-1.1545156;49.3093484;50
VEZINS;50540;-1.2258256;48.5948824;50
LE VICEL;50760;-1.3083694;49.6360114;50
VIDECOSVILLE;50630;-1.3720062;49.5620967;50
VIDOUVILLE;50810;-0.9001702;49.0983536;50
VIERVILLE;50480;-1.2480439;49.3593901;50
VILLEBAUDON;50410;-1.1661153;48.9605209;50
VILLECHIEN;50140;-0.986213;48.5794614;50
VILLEDIEU LES POELES;50800;-1.2213817;48.8393757;50
VILLIERS LE PRE;50240;-1.4002798;48.541718;50
VILLIERS FOSSARD;50680;-1.0601014;49.1562249;50
VINDEFONTAINE;50250;-1.4188536;49.3383762;50
VIRANDEVILLE;50690;-1.7252438;49.5694855;50
VIREY;50600;-1.1326088;48.5846107;50
VRASVILLE;50330;-1.3725069;49.6948678;50
LE VRETOT;50260;-1.7101912;49.4523616;50
YQUELON;50400;-1.5553445;48.848478;50
YVETOT BOCAGE;50700;-1.5042001;49.4897162;50
ILE PELEE;50100;-1.613426;49.633998;50
ILES CHAUSEY;50400;-1.5675936;48.8972111;50
ILE TATIHOU;50550;-1.2433333;49.5888889;50
ST MARTIN DE BREHAL;50290;-1.5680071;48.902778;50
